species1,species2,n_population1,n_observation1,trait1,trait_ci_lb1,trait_ci_ub1,n_population2,n_observation2,trait2,trait_ci_lb2,trait_ci_ub2,trait_diff,trait_overlap,diff_value,overlap_use
Saguinus_midas,Callimico_goeldii,22,0,0,0,0.0826924701398397,69,15,0.217391304347826,0.128170743692434,0.319160858198794,-0.217391304347826,FALSE,-0.217391304347826,FALSE
Saguinus_oedipus,Callimico_goeldii,134,23,0.171641791044776,0.112248414771341,0.238624750552247,69,15,0.217391304347826,0.128170743692434,0.319160858198794,-0.04574951330305,TRUE,-0.04574951330305,TRUE
Saimiri_sciureus,Callimico_goeldii,116,9,0.0775862068965517,0.0353433960210314,0.131243026482192,69,15,0.217391304347826,0.128170743692434,0.319160858198794,-0.139805097451274,TRUE,-0.139805097451274,TRUE
Sapajus_apella,Callimico_goeldii,26,3,0.115384615384615,0.022156245170804,0.254442101092003,69,15,0.217391304347826,0.128170743692434,0.319160858198794,-0.102006688963211,TRUE,-0.102006688963211,TRUE
Theropithecus_gelada,Callimico_goeldii,52,1,0.0192307692307692,3.54977155416648e-05,0.0727517084305247,69,15,0.217391304347826,0.128170743692434,0.319160858198794,-0.198160535117057,FALSE,-0.198160535117057,FALSE
Trachypithecus_auratus,Callimico_goeldii,27,1,0.037037037037037,7.90619029304496e-05,0.135978776603369,69,15,0.217391304347826,0.128170743692434,0.319160858198794,-0.180354267310789,TRUE,-0.180354267310789,TRUE
Trachypithecus_cristatus,Callimico_goeldii,28,1,0.0357142857142857,7.54165716449291e-05,0.131413591050072,69,15,0.217391304347826,0.128170743692434,0.319160858198794,-0.18167701863354,TRUE,-0.18167701863354,TRUE
Trachypithecus_francoisi,Callimico_goeldii,30,4,0.133333333333333,0.0360533257722992,0.268089216873517,69,15,0.217391304347826,0.128170743692434,0.319160858198794,-0.084057971014493,TRUE,-0.084057971014493,TRUE
Varecia_rubra,Callimico_goeldii,59,11,0.186440677966102,0.0974433956354568,0.291715927519924,69,15,0.217391304347826,0.128170743692434,0.319160858198794,-0.030950626381724,TRUE,-0.030950626381724,TRUE
Varecia_variegata,Callimico_goeldii,76,16,0.210526315789474,0.126292518022371,0.30645447721356,69,15,0.217391304347826,0.128170743692434,0.319160858198794,-0.00686498855835199,TRUE,-0.00686498855835199,TRUE
Alouatta_caraya,Callithrix_geoffroyi,32,4,0.125,0.0335237218359123,0.252573497629146,31,3,0.0967741935483871,0.0181230815452321,0.216262136506408,0.0282258064516129,TRUE,0.0282258064516129,TRUE
Ateles_geoffroyi,Callithrix_geoffroyi,43,13,0.302325581395349,0.175869629241609,0.442628252539522,31,3,0.0967741935483871,0.0181230815452321,0.216262136506408,0.205551387846962,TRUE,0.205551387846962,TRUE
Callimico_goeldii,Callithrix_geoffroyi,69,15,0.217391304347826,0.128170743692434,0.319160858198794,31,3,0.0967741935483871,0.0181230815452321,0.216262136506408,0.120617110799439,TRUE,0.120617110799439,TRUE
Callithrix_geoffroyi,Callithrix_geoffroyi,31,3,0.0967741935483871,0.0181230815452321,0.216262136506408,31,3,0.0967741935483871,0.0181230815452321,0.216262136506408,0,TRUE,0,TRUE
Callithrix_jacchus,Callithrix_geoffroyi,41,1,0.024390243902439,4.69527767274654e-05,0.0914709354519275,31,3,0.0967741935483871,0.0181230815452321,0.216262136506408,-0.0723839496459481,TRUE,-0.0723839496459481,TRUE
Cebuella_pygmaea,Callithrix_geoffroyi,41,4,0.0975609756097561,0.0254717144564413,0.200342605405249,31,3,0.0967741935483871,0.0181230815452321,0.216262136506408,0.000786782061369007,TRUE,0.000786782061369007,TRUE
Cercopithecus_neglectus,Callithrix_geoffroyi,28,2,0.0714285714285714,0.00620699977065738,0.18647698409436,31,3,0.0967741935483871,0.0181230815452321,0.216262136506408,-0.0253456221198157,TRUE,-0.0253456221198157,TRUE
Colobus_guereza,Callithrix_geoffroyi,97,10,0.103092783505155,0.0499339833887551,0.16899740082866,31,3,0.0967741935483871,0.0181230815452321,0.216262136506408,0.0063185899567679,TRUE,0.0063185899567679,TRUE
Eulemur_macaco,Callithrix_geoffroyi,30,9,0.3,0.152494532088254,0.467286007314685,31,3,0.0967741935483871,0.0181230815452321,0.216262136506408,0.203225806451613,TRUE,0.203225806451613,TRUE
Galago_moholi,Callithrix_geoffroyi,32,3,0.09375,0.0174857255170213,0.209957455922558,31,3,0.0967741935483871,0.0181230815452321,0.216262136506408,-0.00302419354838709,TRUE,-0.00302419354838709,TRUE
