"species","family","neoplasia_prevalence","malignant_prevalence","LQ","taxa_mean","taxa_median","taxa_sd","taxa_q25","taxa_q75","value","g_mean","g_median","g_sd","g_q25","g_q75","outlier","extreme_outlier","global_label","taxa_outlier","extreme_taxa_outlier","taxa_label"
"Saguinus_bicolor","Cebidae",0.04,0.04,0.908733184357901,0.0869691239830848,0.0967741935483871,0.0646034805018302,0.04,0.117647058823529,0.04,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","low_extreme","normal","normal","normal"
"Saguinus_imperator","Cebidae",0,0,1.12397473605413,0.0869691239830848,0.0967741935483871,0.0646034805018302,0.04,0.117647058823529,0,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","low_extreme","normal","normal","low_extreme"
"Saguinus_midas","Cebidae",0,0,0.983606310228776,0.0869691239830848,0.0967741935483871,0.0646034805018302,0.04,0.117647058823529,0,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","low_extreme","normal","normal","low_extreme"
"Saguinus_oedipus","Cebidae",0.171641791044776,0.0746268656716418,1.27896001950455,0.0869691239830848,0.0967741935483871,0.0646034805018302,0.04,0.117647058823529,0.171641791044776,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","high_extreme","normal","normal","high_extreme"
"Saimiri_sciureus","Cebidae",0.0775862068965517,0.0517241379310345,1.2838133125392,0.0869691239830848,0.0967741935483871,0.0646034805018302,0.04,0.117647058823529,0.0775862068965517,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","normal","normal","normal","normal"
"Sapajus_apella","Cebidae",0.115384615384615,0,1.5808398403266,0.0869691239830848,0.0967741935483871,0.0646034805018302,0.04,0.117647058823529,0.115384615384615,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","normal","normal","normal","normal"
"Theropithecus_gelada","Cercopithecidae",0.0192307692307692,0.0192307692307692,0.890840355072966,0.0666966450184884,0.0627413127413128,0.035076111030147,0.0367063492063492,0.0899224806201551,0.0192307692307692,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","low_extreme","normal","normal","low_extreme"
"Trachypithecus_auratus","Cercopithecidae",0.037037037037037,0.037037037037037,0.847592654426344,0.0666966450184884,0.0627413127413128,0.035076111030147,0.0367063492063492,0.0899224806201551,0.037037037037037,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","low_extreme","normal","normal","normal"
"Trachypithecus_cristatus","Cercopithecidae",0.0357142857142857,0,0.840076721920615,0.0666966450184884,0.0627413127413128,0.035076111030147,0.0367063492063492,0.0899224806201551,0.0357142857142857,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","low_extreme","normal","normal","low_extreme"
"Trachypithecus_francoisi","Cercopithecidae",0.133333333333333,0.1,0.75614106723843,0.0666966450184884,0.0627413127413128,0.035076111030147,0.0367063492063492,0.0899224806201551,0.133333333333333,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","normal","normal","normal","high_extreme"
"Varecia_rubra","Lemuridae",0.186440677966102,0.135593220338983,1.23299983114277,0.213176174668402,0.198483496877788,0.062073512838872,0.178764934704085,0.232894736842105,0.186440677966102,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","high_extreme","normal","normal","normal"
"Varecia_variegata","Lemuridae",0.210526315789474,0.171052631578947,1.32357962703265,0.213176174668402,0.198483496877788,0.062073512838872,0.178764934704085,0.232894736842105,0.210526315789474,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","high_extreme","normal","normal","normal"
